A1,A3,A7,A8,A9,A10,A11,A13,A14,A4_1,A4_2,A4_3,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A6_1,A6_2,A6_3,A6_4,A6_5,A6_7,A6_8,A6_9,A12_1,A12_2,A12_3
1,1.347110632737976,-0.19090583089256777,0,0,-0.49388662129815225,1,-0.4883584679922377,0.0373803907979128,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.4505479491934533,-0.6155358720016211,0,0,-0.49388662129815225,0,-0.1395911646477726,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.6048229226919151,-0.2910826363654782,0,0,-0.49388662129815225,1,0.5579434420411575,-0.1954133390319889,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1.355151553666626,-0.6648766866375322,1,1,1.7697603929850454,1,-1.0696373068996794,-0.1954133390319889,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0.6857448863564782,-0.07876761581095157,1,1,2.387118669607736,0,-0.7208700035552144,-0.16506564157891593,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.8390147447388587,-0.21632382631106742,1,1,-0.08231443688302535,0,-0.4883584679922377,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0.350036437585323,-0.6274972816103268,0,0,-0.49388662129815225,0,-0.7208700035552144,-0.1762059355806769,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.06005052977584876,0.2441904436241031,1,1,0.7408299319472283,0,-0.8196874061694795,-0.08785187970464159,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.7555901901041105,0.23222903401539735,0,0,-0.49388662129815225,0,-0.046586550422581925,-0.09226958249844336,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0.46662979105075414,1.3536111848315593,1,1,0.12347165532453808,1,-0.4883584679922377,-0.1858096373063329,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.6048229226919151,0.6807818943418621,1,1,0.3292577475321015,1,0.40099815553614826,-0.03080589145424488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0.048501902760932,0.8302995144506837,1,1,0.7408299319472283,1,1.662373235965297,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.7053344343000454,-0.2537032313382728,1,1,0.12347165532453808,1,-0.255846932429261,-0.15507779178423367,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0.048501902760932,1.5778876149947916,1,1,0.7408299319472283,1,-1.0696373068996794,-0.0033393045188686884,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,-0.4118408204043049,0.0572934184880761,0,0,-0.49388662129815225,1,0.7904549776041343,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.25756584690584305,-0.6529152770288265,0,0,-0.49388662129815225,0,-1.0696373068996794,0.3212658138083045,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.052009608847198324,1.5778876149947916,1,1,-0.08231443688302535,1,0.8485828614948784,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.8525939956259746,-0.44060025647429985,1,1,-0.08231443688302535,0,-0.5581119286611307,-0.08189758463473486,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.7053344343000454,-0.6274972816103268,0,0,-0.49388662129815225,0,-0.255846932429261,-0.19464504289393644,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.18218221319974534,0.10812940932507542,1,1,0.9466160241547917,0,-0.3197876047090796,0.4301717913772437,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.8390147447388587,-0.6529152770288265,0,0,-0.49388662129815225,0,0.4416876742596692,-0.002571008380816207,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.8390147447388587,-0.48994107111021096,1,0,-0.49388662129815225,1,-0.1395911646477726,-0.1954133390319889,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.6882474773266632,-0.6155358720016211,0,0,-0.49388662129815225,0,-0.09308885753517726,-0.1954133390319889,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.6048229226919151,-0.6020792861918272,1,0,-0.49388662129815225,0,-0.1395911646477726,-0.1954133390319889,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.9701924642074873,-0.42863884686559406,0,0,-0.49388662129815225,0,-0.6046142357737261,-0.12818742695239685,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.6550786784959802,0.9798171345595054,1,1,0.12347165532453808,1,-1.0696373068996794,-0.1954133390319889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,-0.9314853354183387,-0.6274972816103268,0,0,-0.49388662129815225,0,0.09292037091520411,-0.1819681566160705,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.3455032227429389,-0.05484479659354009,1,1,-0.2881005290905888,1,-0.023335396866284254,3.2671052811360295,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1.4556630652747564,-0.06680620620224584,1,1,-0.2881005290905888,0,0.20917613869669247,-0.19176393237623962,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.45405565527971964,-0.3404234510013894,1,1,1.7697603929850454,1,-0.7208700035552144,0.22407635234466566,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,-0.8058459459081757,0.6060230842874513,1,1,0.12347165532453808,1,0.7439526704915389,-0.16660223385502088,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1.1541285304503655,-0.6648766866375322,0,0,-0.49388662129815225,1,-0.17446789498221912,-0.18926696992756906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,-0.6802065563980129,2.1639966858213726,1,0,-0.49388662129815225,1,0.09292037091520411,-0.1762059355806769,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
